Area,Year,"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
Indonesia,2008,58.092161499999996,68.87298166666666,16.945852833333333
Indonesia,2009,62.14838566666666,71.89403666666666,7.1088674166666665
Indonesia,2010,68.00424675000001,75.58522416666666,9.391281166666667
Indonesia,2011,73.81541066666666,79.633605,8.722155083333332
Indonesia,2012,78.13735783333333,83.041535,5.864713166666667
Indonesia,2013,87.37522491666665,88.3665725,11.799816833333336
Indonesia,2014,93.33246933333332,94.01754999999999,6.881679249999999
Indonesia,2015,100.02167833333333,100.00000583333332,7.183064916666666
Indonesia,2016,107.26501133333335,103.52580833333333,7.26224375
Indonesia,2017,109.54727325,107.46889166666669,2.142843416666667
Indonesia,2018,114.19058575000003,110.90612500000002,4.2413585
Indonesia,2019,115.42190041666667,114.26724166666668,1.0849549166666668
Indonesia,2020,121.61607333333332,116.46226666666668,5.378286833333334
Indonesia,2021,124.85359344444443,118.06554444444443,2.704927111111111
Lao People's Democratic Republic,2000,26.992557333333334,38.27078999999999,
Lao People's Democratic Republic,2001,30.071333666666664,41.260430666666664,11.559259416666668
Lao People's Democratic Republic,2002,32.58158083333333,45.64696933333334,8.331421666666667
Lao People's Democratic Republic,2003,36.75836883333333,52.71738958333333,12.777793166666669
Lao People's Democratic Republic,2004,41.32624958333333,58.23282341666667,12.482313916666667
Lao People's Democratic Republic,2005,47.03034683333333,62.40441391666667,13.747284500000001
Lao People's Democratic Republic,2006,51.26324508333334,66.489154,9.075910833333333
Lao People's Democratic Republic,2007,55.62179125,69.58886,8.53708325
Lao People's Democratic Republic,2008,61.695993999999985,74.89766133333332,10.900381916666667
Lao People's Democratic Republic,2009,63.01045000000001,75.00340741666668,2.24645175
Lao People's Democratic Republic,2010,68.23883183333334,79.49052016666667,8.257440333333333
Lao People's Democratic Republic,2011,75.27402874999999,85.50714858333333,10.3744495
Lao People's Democratic Republic,2012,79.49151316666666,89.14558625000001,5.677351250000001
Lao People's Democratic Republic,2013,89.50620883333335,94.82543225,12.562466583333332
Lao People's Democratic Republic,2014,95.66721533333333,98.74100491666667,6.975797249999999
Lao People's Democratic Republic,2015,100.01797708333334,100.00227725,4.543123416666666
Lao People's Democratic Republic,2016,104.31876083333333,101.599226,4.3033417499999995
