Year,Average dietary energy requirement (kcal/cap/day),Average dietary energy supply adequacy (percent) (3-year average),Average fat supply (g/cap/day) (3-year average),Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Coefficient of variation of habitual caloric consumption distribution (real number),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Incidence of caloric losses at retail distribution level (percent),Minimum dietary energy requirement  (kcal/cap/day),Number of children under 5 years affected by wasting (million),Number of children under 5 years of age who are overweight (modeled estimates) (million),Number of children under 5 years of age who are stunted (modeled estimates) (million),Number of moderately or severely food insecure people (million) (3-year average),Number of newborns with low birthweight (million),Number of obese adults (18 years and older) (million),Number of people undernourished (million) (3-year average),Number of severely food insecure people (million) (3-year average),Number of women of reproductive age (15-49 years) affected by anemia (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of population using safely managed drinking water services (Percent),Percentage of population using safely managed sanitation services (Percent),Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of exclusive breastfeeding among infants 0-5 months of age,Prevalence of low birthweight (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of obesity in the adult population (18 years and older),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Rail lines density (total route in km per 100 square km of land area),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2010,2388.0,125.0,80.3,85.0,46.3,104.0,89.3,0.21,2998.0,67753.4,3.05,1846.0,0.11900000000000022,0.1,0.1,2.338500000000003,0.8,2.3339999999999947,0.4394999999999996,2.3015000000000008,0.4599999999999999,13.2,42.0,25.0,5.307999999999995,8.1,18.4,99.0,96.3,96.24400000000006,85.3504999999999,1.28,14.9,66.74049999999995,11.8,13.246999999999979,11.1,6.409,2.5,0.6100000000000003,45.0,3.0,99.2158365,100.05916750000002,0.07424916666666667
2011,2393.0,127.0,81.3,87.4,48.4,108.0,100.0,0.21,3031.0,69388.8,3.01,1849.0,0.11850000000000022,0.1,0.1,2.338500000000003,0.8,2.552499999999994,0.45049999999999957,2.3015000000000008,0.4599999999999999,3.6,35.0,25.0,5.6549999999999985,8.3,17.9,99.0,96.3,96.26350000000006,85.38049999999993,1.09,14.8,67.10649999999995,12.1,13.206499999999979,11.6,6.409,2.5,0.6440000000000003,45.0,3.0,99.22505816666668,100.19716058333334,0.009298833333333334
2012,2394.0,128.0,82.0,90.0,50.4,113.0,100.0,0.21,3064.0,69090.3,3.08,1850.0,0.11950000000000019,0.1,0.1,2.338500000000003,0.8,2.7375000000000016,0.42899999999999955,2.408500000000002,0.46099999999999985,3.1,18.0,23.1,5.713499999999999,8.4,17.5,99.0,96.3,96.26700000000007,85.50349999999992,0.91,14.8,66.75199999999997,12.1,13.206499999999979,12.1,6.409,2.5,0.6440000000000003,45.0,3.0,99.22359833333331,100.30914741666668,-0.0015004166666666664
2013,2395.0,129.0,54.3,60.6,34.1,116.0,91.38999999999992,0.21,3083.0,66715.7,3.19,1851.0,0.12250000000000023,0.1,0.1,2.338500000000003,0.8,2.890999999999999,0.4124999999999995,2.4095000000000018,0.469,2.3,25.0,21.4,5.696000000000001,8.6,16.9,99.0,96.3,96.27700000000009,85.5969999999999,1.07,14.8,65.19400000000002,12.0,13.206499999999979,12.6,6.409,2.5,0.6470000000000004,30.0,4.0,99.32808341666669,100.69955566666668,0.10574416666666664
2014,2396.0,129.0,27.0,30.6,17.1,118.0,91.34549999999994,0.21,3095.0,64190.8,3.19,1852.0,0.12250000000000023,0.1,0.1,2.338500000000003,0.8,2.9714999999999976,0.38599999999999973,2.4095000000000018,0.5290000000000005,3.9,30.0,20.0,5.685999999999999,8.7,16.3,99.0,96.3,96.28350000000009,85.7149999999999,1.26,14.9,65.09250000000003,11.5,13.206499999999979,13.1,6.409,2.5,0.6835000000000002,15.0,5.0,99.10505825,100.49099808333332,-0.22458291666666666
2015,2397.0,129.0,41.10500000000001,52.87250000000011,25.430999999999994,117.0,91.34549999999994,0.21,3099.0,63147.5,3.19,1853.0,0.12150000000000023,0.1,0.1,2.338500000000003,0.7,3.1285000000000043,0.34950000000000003,2.4310000000000014,0.5500000000000009,3.7,26.0,20.0,5.575999999999999,8.9,15.7,99.0,96.3,96.29250000000006,85.8624999999999,1.24,15.1,64.93150000000003,10.8,13.259499999999978,13.6,6.409,2.5,0.6979999999999998,23.21,6.0,100.00077550000002,100.00025283333332,0.9061280833333334
2016,2396.0,129.0,41.334500000000006,52.94000000000011,25.094999999999995,78.0,91.22799999999995,0.21,3099.0,60867.3,3.19,1852.0,0.12150000000000025,0.1,0.1,2.333500000000002,0.7000000000000002,3.238999999999999,0.3310000000000002,2.3804999999999996,0.553000000000001,2.7,9.0,20.0,5.656999999999999,9.0,15.0,99.0,96.42099999999968,96.29450000000006,91.25499999999991,1.15,15.4,64.38500000000002,11.145999999999988,13.474999999999975,14.1,6.387500000000005,2.5,0.6979999999999998,23.285,7.0,99.4878589166667,99.72155875,-0.509942
2017,2398.0,129.0,41.391000000000005,52.92100000000011,25.531999999999996,38.0,91.24099999999994,0.21,3101.0,60994.5,3.19,1854.0,0.12150000000000025,0.1,0.1,2.336000000000002,0.7000000000000002,3.259999999999999,0.3285000000000002,1.8250000000000017,0.553500000000001,2.4,6.0,20.0,5.6594999999999995,9.1,14.3,99.0,96.45149999999971,96.30550000000007,91.62999999999994,1.16,15.7,64.45250000000001,11.040499999999986,16.474499999999985,13.665499999999966,6.346000000000003,2.5,0.6984999999999998,23.275,7.0,99.762541,98.46456308333332,0.28060799999999997
2018,2402.0,129.0,41.4175,53.17350000000011,25.531999999999996,93.0,91.24099999999994,0.21,3106.0,60389.2,3.19,1858.0,0.12250000000000026,0.1,0.1,2.3565000000000036,0.7000000000000002,3.259999999999999,0.3270000000000002,2.6344999999999983,0.5550000000000009,11.471499999999999,11.0,20.801000000000002,5.846500000000003,9.1,13.7,99.0,96.46699999999971,96.31150000000007,86.43499999999993,1.25,16.2,64.09200000000001,10.99699999999999,16.68949999999999,13.74449999999996,6.276499999999999,2.5,0.6984999999999998,23.275,6.0,101.66450108333332,99.47387575,1.9140986666666664
2019,2406.0,129.0,41.54449999999999,53.15450000000012,25.5355,93.0,91.24099999999994,0.21,3114.0,62098.0,3.19,1860.0,0.12250000000000026,0.1,0.1,2.454000000000004,0.7000000000000002,3.259999999999999,0.3270000000000002,2.6039999999999957,0.5670000000000005,11.471499999999999,11.0,20.798000000000002,5.864500000000004,9.2,13.2,99.0,96.78049999999973,96.32100000000003,86.43499999999993,1.17,16.7,64.09200000000001,10.927499999999988,18.97450000000001,13.642499999999963,6.115499999999995,2.5,0.6984999999999998,23.275,6.05,100.95014375,99.0854085,-0.7024511666666666
2020,2408.0,128.9,41.975999999999985,52.67200000000013,25.572999999999997,93.0,91.24099999999994,0.21,3024.157894736842,62243.6,3.19,1862.0,0.12250000000000026,0.1,0.1,2.284500000000004,0.7000000000000002,3.259999999999999,0.3270000000000002,2.6039999999999957,0.5670000000000005,11.471499999999999,12.8,20.798000000000002,6.469500000000008,9.3,12.7,99.0,97.1504999999997,96.32400000000001,86.43749999999993,1.1845999999999972,16.382499999999958,63.68050000000001,10.906499999999989,18.97450000000001,13.695499999999965,6.115499999999995,2.5,0.6984999999999998,23.315,6.015,103.48012225,101.00798225,2.509169583333333
