Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","096","Brunei Darussalam","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","99.706783","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","99.724357","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","100.056906","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","99.09536","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","101.964546","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","101.603726","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","102.675678","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","106.356181","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","89.152073","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","89.816677","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","90.222628","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","90.184468","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","90.184468","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","91.299717","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","91.691562","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","92.535534","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","95.429153","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","99.059163","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","99.398765","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","99.419214","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","99.435629","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","99.398238","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","99.351249","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","99.886781","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","99.860117","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","98.907374","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","101.864837","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","100.867479","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","103.884948","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","105.407159","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","89.216119","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","89.854735","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","90.248","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","90.124185","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","90.305036","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","91.337395","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","91.714168","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","92.701314","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","95.820998","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","99.092482","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","99.409695","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","99.429796","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","99.391631","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","99.37767","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","98.949651","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","100.01623","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","99.795834","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","99.018217","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","101.695129","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","100.419125","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","104.095153","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","105.009493","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","89.280166","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","89.892793","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","90.273372","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","90.063901","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","90.425603","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","91.375072","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","91.736775","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","92.867095","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","96.212842","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","99.1258","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","99.171053","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","99.181874","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","99.161276","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","99.265806","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","98.747127","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","100.107197","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","99.39808","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","98.991632","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","101.132976","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","100.67463","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","103.400524","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","105.073945","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","89.344212","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","89.93085","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","90.298744","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","90.003617","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","90.546171","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","91.412749","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","91.759381","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","93.032875","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","96.604686","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","99.159119","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","98.680385","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","98.687619","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","98.677374","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","98.884091","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","98.49683","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","99.912125","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","99.234723","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","99.84035","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","101.487306","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","100.861793","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","103.063966","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","105.045435","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","89.408259","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","89.968908","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","90.324116","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","89.943333","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","90.666738","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","91.450427","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","91.781987","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","93.198655","F","FAO estimate","base year is 2015"
