Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","5304","South-eastern Asia","512","Total Population - Male","3010","Population - Est. & Proj.","2009","2009","1000 persons","294576.798","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","513","Total Population - Female","3010","Population - Est. & Proj.","2009","2009","1000 persons","295069.433","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","551","Rural population","3010","Population - Est. & Proj.","2009","2009","1000 persons","332338.406","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","561","Urban population","3010","Population - Est. & Proj.","2009","2009","1000 persons","257759.853","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 persons","596947.245","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","512","Total Population - Male","3010","Population - Est. & Proj.","2010","2010","1000 persons","298344.574","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","513","Total Population - Female","3010","Population - Est. & Proj.","2010","2010","1000 persons","298602.672","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","551","Rural population","3010","Population - Est. & Proj.","2010","2010","1000 persons","332523.64","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","561","Urban population","3010","Population - Est. & Proj.","2010","2010","1000 persons","264804.131","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 persons","604376.846","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","512","Total Population - Male","3010","Population - Est. & Proj.","2011","2011","1000 persons","302115.077","A","Aggregate, may include official, semi-official, estimated or calculated data",""
