Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","035","South-eastern Asia","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","111.512893","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","116.320292","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","119.100435","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","42.862138","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","43.784652","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","45.597189","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","46.315392","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","47.978883","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","50.610693","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","54.732343","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","58.31324","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","65.007915","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","71.662314","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","74.500448","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","80.868433","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","85.175404","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","90.101407","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","94.916106","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","98.496813","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","103.218389","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","105.752006","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","109.023046","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","110.760017","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","116.193295","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","118.85898","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","42.690023","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","43.64581","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","45.361087","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","46.261635","A","Aggregate, may include official, semi-official, estimated or calculated data",""
